client_id,nom_client,genre_client,date_naissance,adresse_email,num_tel_mobile,adresse_physique,identifiant_national,type_abonnement,plan_tarifaire,date_debut_abonnement,statut_actif,moyen_paiement,facture_moyenne_mensuelle,satisfaction_client,date_consentement,consentement_marketing,optout_marketing,tenure_jours,tenure_mois,duree_appel_totale_sec,duree_appel_moyenne_sec,nb_appels,sms_total,data_totale_gb,data_moyenne_gb,nb_evenements_data_cdr,nb_evenements_total,recence_cdr_jours,nb_sessions,duree_session_moyenne_sec,duree_session_totale_sec,taux_cookies,recence_session_jours,zone_reseau_principale,qualite_signal_dominante,latitude_moyenne,longitude_moyenne,churn,data_manquante,satisfaction_manquante,nb_reclamations,reclamation_manquante,data_mois_M,data_mois_M1,tendance_data_pct,ratio_sms_appels,ratio_data_voix,score_qualite_zone,score_frustration
11,Client_11,Homme,1963-11-16,client_11@outlook.fr,21643319124,Adresse_11,2076941,Offre Prépayée,Offre Classique,2020-11-26,False,prelevement_bancaire,45.04,1.0,,False,False,1497,49,60.0,60.0,1.0,1.0,0.0,0.0,0.0,4.0,402.0,1,108.0,108,0.0,683,RURAL,Faible,30.766054,8.759362333333334,1,0,0,8.0,0,0.0,0.0,0.0,1.0,0.0,1,40.0
12,Client_12,Femme,1994-06-30,client_12@tunisietelecom.tn,21693073290,Adresse_12,3538568,Offre à Facture,Offre Classique,2020-03-28,True,ticket_recharge,13.22,2.0,2021-02-16,True,False,1740,57,395.0,98.75,4.0,8.0,0.0,0.0,0.0,20.0,59.0,6,428.1666666666667,2569,0.8333333333333334,388,SUBURBAIN,Bon,34.684717,9.541395,0,0,0,2.0,0,0.0,0.0,0.0,2.0,0.0,4,8.0
13,Client_13,Femme,1984-05-09,client_13@outlook.fr,21653518970,Adresse_13,6453174,Offre Prépayée,Offre Classique,2020-07-20,True,especes,35.87,4.0,2023-11-04,True,True,1626,53,1954.0,244.25,8.0,10.0,0.0,0.0,0.0,23.0,50.0,9,197.88888888888889,1781,0.8888888888888888,83,URBAIN,Excellent,36.50136922222222,10.454753666666669,0,0,0,1.0,0,0.0,0.0,0.0,1.25,0.0,9,2.0
14,Client_14,Homme,1984-11-17,client_14@tunisietelecom.tn,21642727408,Adresse_14,2164795,Offre Prépayée,Forfait Illimité,2023-01-28,True,especes,5.04,4.0,,False,False,704,23,0.0,0.0,0.0,0.0,620.76,31.038,20.0,58.0,4.0,6,213.5,1281,0.8333333333333334,5,URBAIN,Bon,36.570845142857145,10.341115428571428,0,0,0,0.0,0,32.14,15.24,110.89,0.0,100.0,6,0.0
15,Client_15,Femme,1954-05-30,client_15@gmail.com,21652055675,Adresse_15,8130030,Offre Prépayée,Offre Classique,2022-05-21,True,ticket_recharge,21.94,5.0,,False,False,956,31,520.0,74.28571428571429,7.0,7.0,0.0,0.0,0.0,18.0,35.0,9,296.77777777777777,2671,0.4444444444444444,35,URBAIN,Excellent,36.603023,10.263075,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,9,0.0
16,Client_16,Femme,1968-12-20,client_16@gmail.com,21658436754,Adresse_16,13409381,Offre à Facture,Offre Classique,2020-05-10,True,ticket_recharge,22.48,1.0,,False,False,1697,55,1092.0,273.0,4.0,7.0,0.0,0.0,0.0,17.0,38.0,8,268.125,2145,0.375,254,URBAIN,Excellent,36.48159625,10.19017675,0,1,0,,1,0.0,0.0,0.0,1.75,0.0,9,
17,Client_17,Femme,1974-03-27,client_17@gmail.com,21623161088,Adresse_17,8026492,Offre Prépayée,Offre Classique,2023-08-25,True,especes,19.3,1.0,,False,False,495,16,974.0,194.8,5.0,4.0,0.0,0.0,0.0,13.0,0.0,8,373.625,2989,0.375,17,SUBURBAIN,Bon,35.2901122,9.4345784,0,0,0,2.0,0,0.0,0.0,0.0,0.8,0.0,4,10.0
18,Client_18,Femme,1961-02-21,client_18@yahoo.com,21653320484,Adresse_18,17859216,Offre Prépayée,Forfait Mobile (Mixte),2022-02-08,True,ticket_recharge,11.86,3.0,,False,False,1058,34,1073.0,119.22222222222224,9.0,6.0,80.57,10.07125,8.0,23.0,6.0,6,349.6666666666667,2098,0.3333333333333333,361,URBAIN,Excellent,36.52579866666667,10.5222265,0,0,0,3.0,0,14.47,3.45,200.0,0.6667,76.8907,9,9.0
19,Client_19,Homme,1999-01-16,client_19@yahoo.com,21691487510,Adresse_19,13943295,Offre Prépayée,Forfait Mobile (Mixte),2020-12-09,True,ticket_recharge,11.1,5.0,,False,False,1484,48,3190.0,199.375,16.0,5.0,75.31,7.531000000000001,10.0,31.0,6.0,12,264.6666666666667,3176,0.25,81,URBAIN,Bon,36.201426000000005,10.3963186,0,0,0,1.0,0,18.66,4.45,200.0,0.3125,24.1747,6,1.0
20,Client_20,Femme,1990-06-23,client_20@gmail.com,21658609964,Adresse_20,1077175,Offre à Facture,Offre Classique,2020-05-02,True,ticket_recharge,22.61,4.0,,False,False,1705,56,2257.0,173.6153846153846,13.0,2.0,0.0,0.0,0.0,26.0,11.0,14,283.42857142857144,3968,0.5,86,URBAIN,Excellent,36.6297428,10.2394268,0,0,0,,1,0.0,0.0,0.0,0.1538,0.0,9,
21,Client_21,Femme,1987-10-24,client_21@yahoo.com,21655055447,Adresse_21,13078808,Offre Prépayée,Forfait Illimité,2022-03-16,True,ticket_recharge,8.7,1.0,,False,False,1022,33,0.0,0.0,0.0,0.0,586.75,48.895833333333336,12.0,46.0,0.0,15,378.53333333333336,5678,0.4,69,SUBURBAIN,Bon,35.121386666666666,9.402787666666669,0,0,0,4.0,0,53.6,210.78,-74.57,0.0,100.0,4,20.0
22,Client_22,Femme,1964-03-24,client_22@tunisietelecom.tn,21652673879,Adresse_22,14011786,Offre Prépayée,Offre Classique,2021-01-20,True,ticket_recharge,7.02,4.0,,False,False,1442,47,1946.0,194.6,10.0,5.0,0.0,0.0,0.0,20.0,54.0,11,314.27272727272725,3457,0.1818181818181818,55,SUBURBAIN,Bon,35.041377875,9.498530375,0,0,0,1.0,0,0.0,0.0,0.0,0.5,0.0,4,2.0
23,Client_23,Homme,1970-01-21,client_23@outlook.fr,21624293331,Adresse_23,2558242,Offre Prépayée,Offre Classique,2023-04-30,True,prelevement_bancaire,20.3,1.0,,False,False,612,20,1178.0,196.33333333333331,6.0,4.0,0.0,0.0,0.0,13.0,43.0,8,222.0,1776,0.5,181,URBAIN,Excellent,36.5238948,10.2932682,0,0,0,3.0,0,0.0,0.0,0.0,0.6667,0.0,9,15.0
24,Client_24,Homme,1960-05-02,client_24@outlook.fr,21624764455,Adresse_24,5319453,Offre Prépayée,Offre Classique,2022-08-13,True,ticket_recharge,70.12,1.0,2022-09-10,True,False,872,28,2123.0,193.0,11.0,11.0,0.0,0.0,0.0,26.0,13.0,12,387.5833333333333,4651,0.8333333333333334,54,URBAIN,Bon,36.8300215,10.2193605,0,0,0,3.0,0,0.0,0.0,0.0,1.0,0.0,6,15.0
25,Client_25,Homme,1966-11-23,client_25@outlook.fr,21645335518,Adresse_25,6445315,Offre Prépayée,Offre Classique,2020-10-03,True,ticket_recharge,13.32,1.0,,False,False,1551,50,4332.0,433.2,10.0,4.0,0.0,0.0,0.0,23.0,7.0,14,230.7142857142857,3230,0.2857142857142857,52,SUBURBAIN,Excellent,35.02438766666666,9.586597333333334,0,0,0,7.0,0,0.0,0.0,0.0,0.4,0.0,6,35.0
26,Client_26,Homme,1969-08-30,client_26@gmail.com,21649791690,Adresse_26,3367555,Offre à Facture,Forfait Mobile (Mixte),2023-03-30,False,prelevement_bancaire,16.19,1.0,2023-07-19,True,False,643,21,1267.0,181.0,7.0,3.0,4.23,4.23,1.0,11.0,11.0,1,184.0,184,0.0,353,URBAIN,Bon,36.298060500000005,10.217289,0,0,0,5.0,0,4.23,0.0,,0.4286,3.4187,6,25.0
27,Client_27,Homme,1980-06-12,client_27@yahoo.com,21696222798,Adresse_27,14012359,Offre Prépayée,Offre Classique,2021-04-04,True,ticket_recharge,17.06,2.0,2021-09-11,True,True,1368,44,2498.0,178.42857142857142,14.0,5.0,0.0,0.0,0.0,24.0,28.0,5,171.8,859,1.0,12,SUBURBAIN,Bon,35.45959,9.714032833333333,0,0,0,2.0,0,0.0,0.0,0.0,0.3571,0.0,4,8.0
28,Client_28,Homme,1957-09-17,client_28@tunisietelecom.tn,21656215622,Adresse_28,13414165,Offre Prépayée,Offre Classique,2023-08-30,False,prelevement_bancaire,20.99,,,False,False,490,16,395.0,131.66666666666666,3.0,1.0,0.0,0.0,0.0,4.0,251.0,1,95.0,95,1.0,227,URBAIN,Excellent,36.518205,10.574469,1,0,1,,1,0.0,0.0,0.0,0.3333,0.0,9,
29,Client_29,Homme,1975-12-22,client_29@tunisietelecom.tn,21657879771,Adresse_29,4208823,Offre Prépayée,Forfait Mobile (Mixte),2023-12-16,False,ticket_recharge,18.97,1.0,2020-05-31,True,False,382,12,717.0,239.0,3.0,4.0,3.26,3.26,1.0,8.0,145.0,1,162.0,162,1.0,1638,URBAIN,Excellent,36.825873,10.499879,1,0,0,5.0,0,3.26,0.0,,1.3333,4.6558,9,25.0
30,Client_30,Femme,1966-01-10,client_30@gmail.com,21659481209,Adresse_30,6051646,Offre Prépayée,Offre Classique,2020-09-09,True,ticket_recharge,14.08,5.0,2021-03-15,True,False,1575,51,1571.0,261.8333333333333,6.0,6.0,0.0,0.0,0.0,19.0,56.0,10,217.1,2171,0.9,257,URBAIN,Excellent,36.370813600000005,10.4550904,0,0,0,,1,0.0,0.0,0.0,1.0,0.0,9,
31,Client_31,Femme,1967-06-23,client_31@tunisietelecom.tn,21621629085,Adresse_31,1285711,Offre Prépayée,Offre Classique,2022-01-17,False,especes,144.68,,2022-06-28,True,False,1080,35,270.0,90.0,3.0,2.0,0.0,0.0,0.0,5.0,130.0,1,90.0,90,1.0,129,URBAIN,Excellent,36.523299,10.716241,1,0,1,,1,0.0,0.0,0.0,0.6667,0.0,9,
32,Client_32,Femme,1995-11-24,client_32@tunisietelecom.tn,21647071845,Adresse_32,7912880,Offre à Facture,Offre Classique,2022-05-06,False,ticket_recharge,44.09,1.0,2022-11-18,True,False,971,31,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,521.0,1,101.0,101,1.0,500,URBAIN,Excellent,36.40272225,10.16164175,1,0,0,3.0,0,0.0,0.0,0.0,20.0,0.0,9,15.0
33,Client_33,Homme,1974-05-05,client_33@tunisietelecom.tn,21651603103,Adresse_33,14331106,Offre Prépayée,Offre Classique,2021-04-19,True,especes,42.69,5.0,,False,False,1353,44,839.0,139.83333333333334,6.0,3.0,0.0,0.0,0.0,16.0,22.0,13,183.15384615384616,2381,0.3846153846153846,31,RURAL,Faible,32.6404862,8.015351800000001,0,0,0,0.0,0,0.0,0.0,0.0,0.5,0.0,1,0.0
34,Client_34,Homme,1992-10-14,client_34@tunisietelecom.tn,21692989968,Adresse_34,1422381,Offre Prépayée,Offre Classique,2022-12-18,True,prelevement_bancaire,41.77,3.0,2023-12-16,True,False,745,24,1253.0,113.9090909090909,11.0,4.0,0.0,0.0,0.0,25.0,93.0,8,150.125,1201,0.875,10,URBAIN,Excellent,36.55729025,10.27088075,1,0,0,,1,0.0,0.0,0.0,0.3636,0.0,9,
35,Client_35,Homme,1954-06-07,client_35@yahoo.com,21656303943,Adresse_35,19222462,Offre Prépayée,Offre Classique,2021-05-25,False,especes,145.24,2.0,2021-12-14,True,False,1317,43,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,101.0,3,99.0,297,1.0,25,URBAIN,Bon,,,1,0,0,6.0,0,0.0,0.0,0.0,20.0,0.0,6,24.0
36,Client_36,Homme,1974-06-15,client_36@tunisietelecom.tn,21696497191,Adresse_36,5900164,Offre Prépayée,Offre Classique,2021-11-30,False,ticket_recharge,36.84,1.0,2022-06-29,True,False,1128,37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,52.0,1,147.0,147,1.0,807,URBAIN,Excellent,37.062356,9.848204,0,0,0,8.0,0,0.0,0.0,0.0,20.0,0.0,9,40.0
37,Client_37,Homme,1984-07-09,client_37@outlook.fr,21622257008,Adresse_37,17336356,Offre Prépayée,Offre Classique,2022-09-02,True,especes,21.73,4.0,,False,False,852,27,1168.0,166.85714285714286,7.0,7.0,0.0,0.0,0.0,17.0,49.0,7,149.42857142857142,1046,0.5714285714285714,149,URBAIN,Excellent,36.6380712,10.3730308,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,9,2.0
38,Client_38,Femme,1947-11-27,client_38@gmail.com,21698437693,Adresse_38,1401067,Offre Prépayée,Forfait Mobile (Mixte),2023-11-10,False,ticket_recharge,22.09,1.0,,False,False,418,13,238.0,79.33333333333333,3.0,1.0,11.4,3.8,3.0,7.0,374.0,3,147.33333333333334,442,0.3333333333333333,334,RURAL,Bon,33.31448,8.392007,1,0,0,8.0,0,3.14,3.33,-5.71,0.3333,49.0487,2,40.0
39,Client_39,Femme,1996-03-25,client_39@yahoo.com,21696137997,Adresse_39,1460796,Offre à Facture,Offre Classique,2022-08-15,False,ticket_recharge,12.89,,2022-12-01,True,False,870,28,153.0,76.5,2.0,0.0,0.0,0.0,0.0,4.0,189.0,3,394.6666666666667,1184,1.0,284,URBAIN,Excellent,36.558417,10.244471666666668,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,9,
40,Client_40,Homme,1954-05-14,client_40@tunisietelecom.tn,21628270518,Adresse_40,6994376,Offre Prépayée,Offre Classique,2021-11-17,False,especes,119.22,2.0,2022-08-19,True,False,1141,37,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1017.0,2,221.0,442,0.0,56,SUBURBAIN,Bon,35.2270125,9.344403,1,0,0,4.0,0,0.0,0.0,0.0,20.0,0.0,4,16.0
41,Client_41,Homme,1945-10-29,client_41@yahoo.com,21646511934,Adresse_41,16858338,Offre Prépayée,Offre Classique,2022-08-15,False,ticket_recharge,15.89,2.0,2022-10-26,True,False,870,28,40.0,20.0,2.0,3.0,0.0,0.0,0.0,5.0,203.0,1,195.0,195,1.0,181,SUBURBAIN,Bon,35.384639500000006,9.478111,1,0,0,4.0,0,0.0,0.0,0.0,1.5,0.0,4,16.0
42,Client_42,Homme,1979-02-20,client_42@tunisietelecom.tn,21649173321,Adresse_42,1312023,Offre à Facture,Offre Classique,2021-07-16,False,ticket_recharge,19.64,2.0,,False,False,1265,41,13.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,291.0,1,440.0,440,0.0,181,URBAIN,Bon,36.035799,10.653935,1,1,0,2.0,0,0.0,0.0,0.0,0.0,0.0,6,8.0
43,Client_43,Homme,1991-07-09,client_43@outlook.fr,21622003171,Adresse_43,17270016,Offre Prépayée,Offre Classique,2023-06-21,True,especes,23.78,1.0,,False,False,560,18,1019.0,127.375,8.0,9.0,0.0,0.0,0.0,22.0,13.0,9,311.44444444444446,2803,0.4444444444444444,18,SUBURBAIN,Bon,35.0573382,9.4391794,0,0,0,5.0,0,0.0,0.0,0.0,1.125,0.0,4,25.0
44,Client_44,Femme,1998-07-16,client_44@gmail.com,21698214938,Adresse_44,18822636,Offre Prépayée,Offre Classique,2022-04-11,True,ticket_recharge,38.96,1.0,2022-09-24,True,False,996,32,1340.0,167.5,8.0,4.0,0.0,0.0,0.0,13.0,24.0,3,541.3333333333334,1624,0.6666666666666666,9,RURAL,Faible,31.724927,8.437218166666666,0,0,0,5.0,0,0.0,0.0,0.0,0.5,0.0,1,25.0
45,Client_45,Homme,1946-12-01,client_45@tunisietelecom.tn,21693900737,Adresse_45,4177902,Offre Prépayée,Offre Classique,2023-02-28,True,ticket_recharge,47.15,1.0,2023-11-14,True,False,673,22,1271.0,254.2,5.0,3.0,0.0,0.0,0.0,16.0,10.0,8,212.5,1700,1.0,77,SUBURBAIN,Bon,35.19851233333333,9.544129333333332,0,0,0,3.0,0,0.0,0.0,0.0,0.6,0.0,4,15.0
46,Client_46,Homme,1945-07-10,client_46@tunisietelecom.tn,21648045900,Adresse_46,13320715,Offre Prépayée,Forfait Illimité,2021-10-08,False,especes,,,2022-06-07,True,False,1181,38,0.0,0.0,0.0,0.0,,31.243333333333336,3.0,11.0,3.0,1,118.0,118,1.0,1011,URBAIN,Bon,36.830309,10.142223,0,1,1,,1,32.59,21.26,53.29,0.0,0.0,6,
47,Client_47,Homme,1973-09-23,client_47@tunisietelecom.tn,21629501598,Adresse_47,15304459,Offre Prépayée,Offre Classique,2020-01-21,True,ticket_recharge,9.06,3.0,,False,False,1807,59,870.0,124.28571428571428,7.0,3.0,0.0,0.0,0.0,16.0,10.0,7,256.7142857142857,1797,0.1428571428571428,108,RURAL,Faible,32.592059,8.733742,0,0,0,0.0,0,0.0,0.0,0.0,0.4286,0.0,1,0.0
48,Client_48,Homme,1992-07-17,client_48@tunisietelecom.tn,21691981883,Adresse_48,12899054,Offre Prépayée,Forfait Mobile (Mixte),2022-04-20,True,especes,15.01,1.0,2023-01-19,True,False,987,32,2378.0,182.92307692307693,13.0,12.0,17.43,5.81,3.0,28.0,1.0,5,292.2,1461,0.8,79,URBAIN,Excellent,35.865462,10.758836,0,0,0,7.0,0,6.12,4.85,26.19,0.9231,7.5056,9,35.0
49,Client_49,Femme,1953-02-23,client_49@gmail.com,21644293705,Adresse_49,2550184,Offre Prépayée,Offre Classique,2023-11-16,True,ticket_recharge,20.03,3.0,2020-09-24,True,False,412,13,1764.0,252.0,7.0,11.0,0.0,0.0,0.0,20.0,196.0,7,632.8571428571429,4430,0.8571428571428571,240,RURAL,Bon,32.6635742,9.1183816,1,0,0,,1,0.0,0.0,0.0,1.5714,0.0,2,
50,Client_50,Homme,1961-09-16,client_50@gmail.com,21657154512,Adresse_50,9153113,Offre Prépayée,Forfait Mobile (Mixte),2023-07-21,True,ticket_recharge,17.01,4.0,2024-01-09,True,False,530,17,2206.0,147.06666666666666,15.0,12.0,153.98,15.398,10.0,37.0,5.0,3,268.3333333333333,805,0.6666666666666666,23,URBAIN,Excellent,36.38488888888889,10.346015666666666,0,0,0,2.0,0,36.86,12.25,200.0,0.8,71.4758,9,4.0
51,Client_51,Homme,1993-02-06,client_51@outlook.fr,21694759505,Adresse_51,19477276,Offre Prépayée,Offre Classique,2021-01-22,False,ticket_recharge,11.69,1.0,2021-07-11,True,True,1440,47,85.0,85.0,1.0,3.0,0.0,0.0,0.0,6.0,345.0,2,176.5,353,1.0,619,URBAIN,Bon,36.8821344,10.304417,1,0,0,7.0,0,0.0,0.0,0.0,3.0,0.0,6,35.0
52,Client_52,Femme,1998-12-20,client_52@gmail.com,21656418952,Adresse_52,17961383,Offre Prépayée,Forfait Mobile (Mixte),2021-08-23,False,ticket_recharge,9.81,1.0,,False,False,1227,40,596.0,119.2,5.0,1.0,9.53,4.765,2.0,8.0,23.0,1,73.0,73,0.0,1077,URBAIN,Excellent,36.455073,10.338634,0,0,0,3.0,0,6.6,2.93,125.26,0.2,16.3737,9,15.0
53,Client_53,Femme,1999-02-25,client_53@tunisietelecom.tn,21625264423,Adresse_53,8960339,Offre Prépayée,Offre Classique,2020-11-11,True,ticket_recharge,8.33,4.0,2021-03-31,True,True,1512,49,1061.0,151.57142857142858,7.0,6.0,0.0,0.0,0.0,20.0,74.0,4,147.75,591,0.75,128,SUBURBAIN,Excellent,35.164814,9.03527525,0,0,0,2.0,0,0.0,0.0,0.0,0.8571,0.0,6,4.0
54,Client_54,Femme,1949-12-22,client_54@outlook.fr,21659181883,Adresse_54,3770742,Offre Prépayée,Offre Classique,2020-01-14,True,especes,8.78,5.0,,False,False,1814,59,1248.0,156.0,8.0,5.0,0.0,0.0,0.0,20.0,81.0,1,36.0,36,1.0,710,URBAIN,Excellent,36.365266,10.342893571428572,0,0,0,0.0,0,0.0,0.0,0.0,0.625,0.0,9,0.0
55,Client_55,Homme,1946-07-24,client_55@outlook.fr,21648170837,Adresse_55,8296405,Offre Prépayée,Offre Classique,2020-08-29,True,ticket_recharge,142.71,2.0,,False,False,1586,52,2441.0,203.41666666666663,12.0,12.0,0.0,0.0,0.0,37.0,0.0,10,348.2,3482,0.3,747,URBAIN,Excellent,36.51138266666666,10.20718511111111,0,0,0,5.0,0,0.0,0.0,0.0,1.0,0.0,9,20.0
56,Client_56,Homme,1959-11-26,client_56@outlook.fr,21692750740,Adresse_56,19659522,Offre à Facture,Forfait Mobile (Mixte),2022-02-15,True,ticket_recharge,22.7,4.0,2022-08-21,True,False,1051,34,2099.0,209.9,10.0,2.0,,9.29857142857143,7.0,19.0,19.0,12,330.9166666666667,3971,0.75,159,SUBURBAIN,Bon,35.032336,9.494603714285716,0,1,0,1.0,0,5.25,4.98,5.42,0.2,,4,2.0
57,Client_57,Femme,1950-03-11,client_57@tunisietelecom.tn,21691885421,Adresse_57,15109803,Offre Prépayée,Offre Classique,2020-08-18,True,ticket_recharge,43.87,4.0,2023-12-25,True,False,1597,52,2280.0,190.0,12.0,5.0,0.0,0.0,0.0,21.0,5.0,10,222.9,2229,0.9,46,SUBURBAIN,Bon,35.15144525,9.458505625,0,0,0,0.0,0,0.0,0.0,0.0,0.4167,0.0,4,0.0
58,Client_58,Femme,1997-05-05,client_58@yahoo.com,21626495671,Adresse_58,19751063,Offre Prépayée,Offre Classique,2021-07-18,True,ticket_recharge,,2.0,,False,False,1263,41,2571.0,428.5,6.0,8.0,0.0,0.0,0.0,20.0,15.0,6,360.8333333333333,2165,0.3333333333333333,388,SUBURBAIN,Bon,35.23439183333333,9.6831935,0,0,0,3.0,0,0.0,0.0,0.0,1.3333,0.0,4,12.0
59,Client_59,Femme,1955-07-31,client_59@tunisietelecom.tn,21624223522,Adresse_59,12034586,Offre à Facture,Offre Classique,2022-06-16,True,ticket_recharge,47.34,2.0,2022-08-06,True,False,930,30,1211.0,173.0,7.0,7.0,0.0,0.0,0.0,19.0,41.0,4,264.5,1058,1.0,58,URBAIN,Excellent,36.6030615,10.27557725,0,0,0,4.0,0,0.0,0.0,0.0,1.0,0.0,9,16.0
60,Client_60,Femme,1980-05-10,client_60@gmail.com,21643217181,Adresse_60,6547094,Offre Prépayée,Offre Classique,2023-09-25,True,ticket_recharge,45.39,4.0,2024-01-13,True,False,464,15,1065.0,118.33333333333331,9.0,7.0,0.0,0.0,0.0,19.0,97.0,6,322.5,1935,0.8333333333333334,36,URBAIN,Excellent,36.53926671428571,10.140177142857144,1,0,0,2.0,0,0.0,0.0,0.0,0.7778,0.0,9,4.0
